Ingestion Order,Shelf Mark,Volume,PID,Create Date,File Name (.PDF),Path,File Size (MB),LSID
164,Playbills 147 ,Playbills 147 (2),457217,24 de sep de 10,015305519_2137_Playbills 147 (2),/2010/09/24/file_3/457217,"211,58",405a07ab
14,Playbills 15,Playbills 15,380226,8 de sep de 10,014936797_357_Playbills 15,/2010/09/08/file_1/380226,"543,54",3f9ca2c6
165,Playbills 150 ,Playbills 150 (1),457404,24 de sep de 10,015305529_2323_Playbills 150 (1),/2010/09/24/file_3/457404,"365,3",405a2c00
156,Playbills 150 ,Playbills 150 (2),455234,24 de sep de 10,015305529_163_Playbills 150 (2),/2010/09/24/file_1/455234,"357,53",405a2a67
159,Playbills 151 ,Playbills 151 (1),455755,24 de sep de 10,015325092_681_Playbills 151 (1),/2010/09/24/file_1/455755,"361,91",405a2f54
161,Playbills 151 ,Playbills 151 (2),456350,24 de sep de 10,015325092_1274_Playbills 151 (2),/2010/09/24/file_2/456350,"379,21",405a27bc
163,Playbills 153 ,Playbills 153 (1),456923,24 de sep de 10,015325100_1844_Playbills 153 (1),/2010/09/24/file_2/456923,"98,89",405a2ce9
158,Playbills 153 ,Playbills 153 (2),455552,24 de sep de 10,015325100_479_Playbills 153 (2),/2010/09/24/file_1/455552,"76,58",405a2e88
15,Playbills 16,Playbills 16,380711,8 de sep de 10,014936814_841_Playbills 16,/2010/09/08/file_1/380711,"51,6",3f9cb154
166,Playbills 161 ,Playbills 161 (1),457558,24 de sep de 10,015325107_2476_Playbills 161 (1),/2010/09/24/file_3/457558,"348,09",405a2dc1
162,Playbills 161 ,Playbills 161 (2),456787,24 de sep de 10,015325107_1709_Playbills 161 (2),/2010/09/24/file_2/456787,"382,78",405a2b47
160,Playbills 166 ,Playbills 166 (1),455970,24 de sep de 10,015325121_895_Playbills 166 (1),/2010/09/24/file_1/455970,"154,02",MISSING
319,Playbills 166 ,Playbills 166 (2),515450,20 de oct de 10,015325121_1554_Playbills 166 (2),/2010/10/20/file_2/515450,"190,52",4332c45e
169,Playbills 168 ,Playbills 168 (1),458449,24 de sep de 10,015326074_771_Playbills 168 (1),/2010/09/24/file_4/458449,"257,7",414b3b94
167,Playbills 168 ,Playbills 168 (2),457869,24 de sep de 10,015326074_193_Playbills 168 (2),/2010/09/24/file_3/457869,"215,54",414b38db
13,Playbills 17,Playbills 17,379993,8 de sep de 10,014936817_125_Playbills 17,/2010/09/08/file_1/379993,"31,89",3f9cb36d
168,Playbills 175,Playbills 175,458263,24 de sep de 10,015326099_586_Playbills 175,/2010/09/24/file_4/458263,"409,56",414b3c54
170,Playbills 176,Playbills 176,459095,24 de sep de 10,015326105_1416_Playbills 176,/2010/09/24/file_5/459095,"1.463,18",414b399e
175,Playbills 178 ,Playbills 178 (1),460685,24 de sep de 10,015211339_1573_Playbills 178 (1),/2010/09/24/file_6/460685,"147,43",414bffea
176,Playbills 178 ,Playbills 178 (2),461208,24 de sep de 10,015211339_2095_Playbills 178 (2),/2010/09/24/file_7/461208,"139,52",414b3e73
173,Playbills 179 ,Playbills 179 (1),460029,24 de sep de 10,015326118_919_Playbills 179 (1),/2010/09/24/file_5/460029,"51,88",414bfd38
171,Playbills 179 ,Playbills 179 (2),459193,24 de sep de 10,015326118_85_Playbills 179 (2),/2010/09/24/file_5/459193,"193,82",414bfecb
16,Playbills 18,Playbills 18,380917,8 de sep de 10,014936821_1046_Playbills 18,/2010/09/08/file_2/380917,"380,04",3f9cb23c
174,Playbills 180 ,Playbills 180 (1),460482,24 de sep de 10,015326140_1371_Playbills 180 (1),/2010/09/24/file_6/460482,"73,1",414bfb8f
172,Playbills 180 ,Playbills 180 (2),459814,24 de sep de 10,015326140_705_Playbills 180 (2),/2010/09/24/file_5/459814,"45,29",414c0153
180,Playbills 181 ,Playbills 181 (1),463191,24 de sep de 10,015328822_1834_Playbills 181 (1),/2010/09/24/file_9/463191,"51,62",414c0302
181,Playbills 181 ,Playbills 181 (2),463369,24 de sep de 10,015328822_2011_Playbills 181 (2),/2010/09/24/file_9/463369,"565,46",414cb2a8
178,Playbills 182 ,Playbills 182 (1),462193,24 de sep de 10,015328828_838_Playbills 182 (1),/2010/09/24/file_8/462193,"249,45",414cad32
177,Playbills 182 ,Playbills 182 (2),461660,24 de sep de 10,015328828_306_Playbills 182 (2),/2010/09/24/file_7/461660,"306,44",414cb104
179,Playbills 183,Playbills 183,462275,24 de sep de 10,015387250_919_Playbills 183,/2010/09/24/file_8/462275,"293,62",414caed8
184,Playbills 184 ,Playbills 184 (1),465088,27 de sep de 10,015328840_938_Playbills 184 (1),/2010/09/27/file_2/465088,"168,43",414d6e75
187,Playbills 184 ,Playbills 184 (2),466558,27 de sep de 10,015328840_2049_Playbills 184 (2),/2010/09/27/file_3/466558,"135,89",414d6fb9
183,Playbills 185,Playbills 185,464527,27 de sep de 10,015328845_378_Playbills 185,/2010/09/27/file_1/464527,"269,31",414d78fb
192,Playbills 186 ,Playbills 186 (1),467943,27 de sep de 10,015328850_3429_Playbills 186 (1),/2010/09/27/file_4/467943,"210,9",414e5abf
189,Playbills 186 ,Playbills 186 (2),467295,27 de sep de 10,015328850_2784_Playbills 186 (2),/2010/09/27/file_4/467295,"208,26",414d77dc
190,Playbills 187 ,Playbills 187 (1),467334,27 de sep de 10,015341062_2822_Playbills 187 (1),/2010/09/27/file_4/467334,"215,77",414d75b6
191,Playbills 187 ,Playbills 187 (2),467839,27 de sep de 10,015341062_3326_Playbills 187 (2),/2010/09/27/file_4/467839,"242,6",414d76c8
21,Playbills 19,Playbills 19,382856,8 de sep de 10,014936826_1317_Playbills 19,/2010/09/08/file_4/382856,"320,68",3f9d1bae
182,Playbills 193 ,Playbills 193 (1),464463,27 de sep de 10,015341065_315_Playbills 193 (1),/2010/09/27/file_1/464463,"242,28",414d7ded
193,Playbills 193 ,Playbills 193 (2),468262,27 de sep de 10,015341065_3747_Playbills 193 (2),/2010/09/27/file_5/468262,"386,27",414e5bd1
185,Playbills 199,Playbills 199,465666,27 de sep de 10,015341069_1515_Playbills 199,/2010/09/27/file_2/465666,"833,79",414d7ad1
3,Playbills 2,Playbills 2,374164,3 de sep de 10,015376977_44_Playbills 2,/2010/09/03/file_1/374164,"104,28",3f9ba668
20,Playbills 20,Playbills 20,382675,8 de sep de 10,014936852_1137_Playbills 20,/2010/09/08/file_3/382675,"64,99",3f9d1c97
186,Playbills 204 ,Playbills 204 (1),465990,27 de sep de 10,015341079_1838_Playbills 204 (1),/2010/09/27/file_3/465990,"153,35",414d7cb2
188,Playbills 204 ,Playbills 204 (2),466931,27 de sep de 10,015341079_2421_Playbills 204 (2),/2010/09/27/file_3/466931,"161,23",414cb86c
18,Playbills 21,Playbills 21,381654,8 de sep de 10,014936859_118_Playbills 21,/2010/09/08/file_2/381654,"296,28",3f9d19d0
206,Playbills 212 ,Playbills 212 (1),472044,27 de sep de 10,015351385_2176_Playbills 212 (1),/2010/09/27/file_9/472044,"195,44",41b2ed0d
203,Playbills 212 ,Playbills 212 (2),471308,27 de sep de 10,015351385_1443_Playbills 212 (2),/2010/09/27/file_8/471308,"286,23",41b2dd02
194,Playbills 213 ,Playbills 213 (1),468628,27 de sep de 10,015351394_139_Playbills 213 (1),/2010/09/27/file_5/468628,"229,04",41b2af05
195,Playbills 213 ,Playbills 213 (2),468898,27 de sep de 10,015351394_408_Playbills 213 (2),/2010/09/27/file_5/468898,"192,41",41b2b448
198,Playbills 218,Playbills 218,469775,27 de sep de 10,015351408_1282_Playbills 218,/2010/09/27/file_6/469775,"77,89",41b2b1d4
74,Playbills 22 ,Playbills 22 (1),426789,20 de sep de 10,014939233_1115_Playbills 22 (1),/2010/09/20/file_8/426789,"180,14",3fa2d1af
78,Playbills 22 ,Playbills 22 (2),428045,20 de sep de 10,014939233_2367_Playbills 22 (2),/2010/09/20/file_9/428045,"212,53",3fa2cf50
196,Playbills 225 ,Playbills 225 (1),469503,27 de sep de 10,015387256_1012_Playbills 225 (1),/2010/09/27/file_6/469503,"107,13",41b2b336
197,Playbills 225 ,Playbills 225 (2),469517,27 de sep de 10,015387256_1025_Playbills 225 (2),/2010/09/27/file_6/469517,"103,46",41b2b22d
73,Playbills 23 ,Playbills 23 (1),426533,20 de sep de 10,014939242_860_Playbills 23 (1),/2010/09/20/file_7/426533,"292,39",3fa2ca3e
83,Playbills 23 ,Playbills 23 (2),429663,20 de sep de 10,014939242_3980_Playbills 23 (2),/2010/09/20/file_11/429663,"77,09",3fa2d92a
