title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
WESTERN ISLES.,,[Place of production not identified]  : ,1942,['(14.00 mins) : '],"Director, d. Terence Egan Bishop ; Producer, Merton Park Productions.","Celts and Celtic Culture -- Employment, Industry and Industrial Relations -- Fishing Boats -- Peat and Peat Cutting -- Ships and Shipping -- Spinning -- Transport -- War","Life on Harris in the Western Isles during World War II.  A local family await news of their son after the sinking of the vessel ""Atlantic Queen"". ","sound, colour",http://movingimage.nls.uk/film/0028
HARNESSING THE HILLS.,,[Place of production not identified]  : ,1949,['(15 mins) : '],"Director, d. Michael Hankinson and A.H. Luff ; Producer, Merlin Films.","Agriculture -- Animals -- Construction and Engineering -- Employment, Industry and Industrial Relations -- Power Resources","The opening of Lochalsh hydro-electric station in 1948 when power lines were connected to villages in the Highlands for the first time.  Don Mundy, Australia's sheep shearing champion is featured in the film.  ","sound, black and white",http://movingimage.nls.uk/film/0029
IT BEGAN ON THE CLYDE.,,[Place of production not identified]  : ,1946,['(14.04 mins) : '],"Director, d.  Ken Annakin ; Producer,  Greenpark Productions.","Employment, Industry and Industrial Relations -- Politics -- Ships and Shipping -- War","A look at stress and work fatigue amongst Clydeside workers during the war, and how Ballochmyle hospital helped to overcome this. ","sound, black and white",http://movingimage.nls.uk/film/0030
ARP SCHOOLS.,"RUSSELL, Stanley Livingstone",[Place of production not identified]  : ,1940,['(12.00 mins) : '],"Director, d. Stanley L. Russell.",Children and Infants -- Home Guard -- War -- educational,"Children are shown how to use a respirator during an air raid. Filmed in Knightswood Primary School, Glasgow between April and June 1940.  ","silent, black and white",http://movingimage.nls.uk/film/0031
SCOTLAND'S WATER SUPPLY.,,[Place of production not identified]  : ,1950,['(9 mins) : '],"Producer, Editorial Productions.","Agriculture -- Buses and Coaches, general -- Children and Infants -- Food and Drink -- Forth River -- Leisure and Recreation -- Reservoirs -- Water and Waterways -- East Lothian -- Forth River",A look at the improvements to the water supply in rural areas brought about by the construction of the Lammermuir reservoir. ,"sound, black and white",http://movingimage.nls.uk/film/0032
HIGHLAND DOCTOR.,,[Place of production not identified]  : ,1943,['(21 mins) : '],"Director, d. Kay Mander ; Producer, Paul Rotha Productions.","Air displays and shows -- Healthcare -- Transport -- War -- Glasgow -- Highlands, the","How medical facilities improved after the 1912 Dewar Committee. In particular, how the 'air ambulance' increased health care in the Western Isles.","sound, black and white",http://movingimage.nls.uk/film/0033
"FACE OF SCOTLAND, the.",Films of Scotland Committee,[Place of production not identified]  : ,1938,['(13.00 mins) : '],"Director, d. Basil Wright ; Producer, Realist Film Unit.","Agriculture -- Celebrations, Traditions and Customs -- Education -- Employment, Industry and Industrial Relations -- Fish and Fishing -- Leisure and Recreation -- Peat and Peat Cutting -- Ships and Shipping -- Borders -- Dumfriesshire -- Edinburgh -- Fife -- Glasgow -- Stirling -- documentary -- sponsored",One of a group of seven documentaries made for the 1938 Empire Exhibition under the supervision of John Grierson depicting the character of Scotland and its people.  ,"sound, black and white",http://movingimage.nls.uk/film/0034
SCOTTISH WOMEN'S HOSPITALS.,,[Place of production not identified]  : ,1917,['(5.00 mins) : '],,Healthcare -- War -- documentary,"Daily life in one of fourteen field hospitals set up by the National Union of Women's Suffrage Societies in European theatres of war, entirely staffed by women.  ","silent, black and white",http://movingimage.nls.uk/film/0035
"BRITISH MOVIETONE NEWS No 830, ATROCITIES - THE EVIDENCE.",,[Place of production not identified]  : ,1945,['(7 mins) : '],"Producer, Movietone News.","Emotions, Attitudes and Behaviour -- Revenge -- War -- newsreel","British MPs tour Germany in 1945, to look at Buchenwald and Belsen Concentration Camps.","sound, black and white",http://movingimage.nls.uk/film/0036
QUEEN'S OWN HIGHLANDERS.,,[Place of production not identified]  : ,1964,['(12 mins) : '],"Director, filmed by William S. Dobson.","Ceremonies -- Military, the -- Royalty -- Edinburgh -- amateur","Prince Philip attends a military ceremony at Holyrood House, Edinburgh, to present colours to the amalgamated 1st Battalion Queen's Own Highlanders.  ","silent, colour",http://movingimage.nls.uk/film/0037
