title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
[CRSC TO LARNE].,,[Place of production not identified]  : ,1981,['(7.05 mins) : '],"Director, filmed by  Mr Tom Urie.",Leisure and Recreation -- Paddle Steamers -- Ships and Shipping -- amateur,Members of the Clyde River Steamer Club witness the activities of boats and ferries on a day trip from Carnryan to Larne.,"sound, colour",http://movingimage.nls.uk/film/4581
WAVERLEY 1981/82.,,[Place of production not identified]  : ,1982,['(13.49 mins  ) : '],"Director, filmed by Mr Tom Urie.",Construction and Engineering -- Paddle Steamers -- Transport -- Water and Waterways -- Argyllshire -- amateur,"Beginning with footage of the 'Waverley' being re-boilered in early 1981, this film then documents various cruises on the 'Waverley' paddle steamer (including the first trip using the new boiler).  These include trips up the Clyde, on the Forth River to G","sound, colour",http://movingimage.nls.uk/film/4582
[GARDYLOO].,,[Place of production not identified]  : ,1982,['(9.48 mins  ) : '],"Director, filmed by Mr Tom Urie.",Ferries -- amateur,"Members of the Coastal Cruising Association take a trip on the sludgeboat 'Gardyloo'.  Departing via the sealock at Leith Docks, this is an amateur enthusiast's record of the sights on the sea, passing the Isle of May and the Fife Coast.  Includes shots o","sound, colour",http://movingimage.nls.uk/film/4583
CLYDE STEAMERS.,,[Place of production not identified]  : ,1970,['(24.38 mins ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- amateur,"A detailed overview of different steamships operating on the Clyde and along the West Coast.  Views along the Clyde coast and on deck are shown, the workings of the engine rooms are recorded, the film finishing with some footage of the ill-fated Clyde hov","Sound, colour",http://movingimage.nls.uk/film/4584
[CLYDE RIVER STEAMER CLUB].,,[Place of production not identified]  : ,1968,['(27.49 mins ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- amateur,A record of some chartered trips taken by members of the Clyde River Steamer Club between 1966 - 1968.  Includes footage of a trip to Girvan on the 'Duchess of Hamilton' - Girvan had not been visited by a Clyde Steamer since 1939. ,"Sound, colour",http://movingimage.nls.uk/film/4585
[CRSC PIERS].,,[Place of production not identified]  : ,1974,['(9.57 mins ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- amateur,"In June 1974, members of the Clyde River Steamer Club made a trip on the steamer ''Countess of Kempock' to visit a range of Clyde Piers no longer in use.  ","sound, colour",http://movingimage.nls.uk/film/4586
[CRUISING ON THE CLYDE] .,,[Place of production not identified]  : ,1967,['(23.53 mins ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- amateur,"A detailed record of cruising on the Clyde during 1966 - 1967.  Cruising vessels include the 'Queen Mary II', 'Maid of the Loch' and 'Waverley'.","sound, colour",http://movingimage.nls.uk/film/4587
I CAME TO A RIVER.,,[Place of production not identified]  : ,1977,['(25.47 mins  ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- amateur,"This film records various methods of transportation across the Clyde River, starting with bridges and tunnels but concentrating on ferry boats.  It features footage of the Finnieston, Govan, and Erskine ferries in operation then broadens to include the Du","sound, colour",http://movingimage.nls.uk/film/4588
[MALLAIG AND THE SMALL ISLES].,,[Place of production not identified]  : ,1970,['(11.03 mins ) : '],"Director, filmed by Mr Tom Urie.",amateur,"The film begins by showing activities in Mallaig harbour such as unloading fish, shelling seafood and loading boats with fresh ice.  There then follows an amateur record of a trip on the ferry 'Loch Arkaig', travelling from Mallaig to the small isles of E","sound, colour",http://movingimage.nls.uk/film/4589
[QUEEN OF SCOTS].,,[Place of production not identified]  : ,1956,['(4.00 minsc) : '],"Director, filmed by Mr Tom Urie.",Ferries -- Paddle Steamers -- Ships and Shipping -- Dunbartonshire -- Renfrewshire -- amateur,"Amateur footage of the shipyards and landscapes on the Clyde River, as seen from on board a moving ship on a sunny day.  ","silent, colour",http://movingimage.nls.uk/film/4590
ROUND 'THE MULL'.,,[Place of production not identified]  : ,1972,['(22.01 mins  ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- Ships and Shipping -- amateur,"A trip on the 'Loch Carron', travelling up the Firth of Clyde, to the Mull of Kintyre, Oban, Tiree and the Outer Hebrides.","sound, colour",http://movingimage.nls.uk/film/4591
[SERVICE TO ISLAY].,,[Place of production not identified]  : ,1974,['(11.52 mins ) : '],"Director, filmed by Mr Tom Urie.",amateur,Ferry services to the islands of Islay and Gigha.  Records the Western Ferries services 'Sound of Jura' and 'Sound of Gigha' and Caledonian MacBrayne's ferry 'MV Pioneer'.  ,"sound, colour",http://movingimage.nls.uk/film/4592
"[TARBERT MAIL RUN, the].",,[Place of production not identified]  : ,1969,['(14.04 mins  ) : '],"Director, filmed by Mr Tom Urie.",Paddle Steamers -- amateur,"The mail boat 'Loch Fyne' on its daily run from Gourock to Tarbert, Loch Fyne and calling at various places along the way.  Includes footage of the very last mail run on 30th September 1969.  ","sound, colour",http://movingimage.nls.uk/film/4593
[CRSC ORMIDALE - KEPPEL].,,[Place of production not identified]  : ,1980,['(03:05 mins ) : '],"Director, [filmed by Mr Tom Urie].",Leisure and Recreation -- Paddle Steamers -- Power Resources -- Ships and Shipping -- Transport -- Argyllshire -- Bute -- amateur,"A Clyde River Steamer Club cruise to Ormidale on the 'Keppel', including footage of the Kyles of Bute and the American Polaris Submarine Base on the Holy Loch.  ","sound, colour",http://movingimage.nls.uk/film/4594
"[FULLWOOD FOUNDRY, HAMILTON; NEWBATTLE ABBEY MEAL MILL AND WATER WHEEL].",,[Place of production not identified]  : ,1979,['(15.01 mins  ) : '],"Director, filmed by Mr Tom Urie.","Construction and Engineering -- Employment, Industry and Industrial Relations -- Power Resources -- Lanarkshire -- amateur -- industrial","Footage inside the Fullwood Foundry, Hamilton as metal mouldings are made - presumably making the new waterwheel as seen in the following part of the film.  A new waterwheel is inaugurated at Newbattle Abbey by Magnus Magnusson.","sound, colour",http://movingimage.nls.uk/film/4595
[GENERAL TERMINUS QUAY; HUNTERSTON ORE TERMINAL].,,[Place of production not identified]  : ,1979,['(11.48 mins ) : '],"Director, filmed by Mr Tom Urie.","Ceremonies -- Construction and Engineering -- Employment, Industry and Industrial Relations -- Power Resources -- Ships and Shipping -- Ayrshire -- amateur -- industrial","General views at General Terminus Quay, Glasgow.  Celebratory scenes at the official opening of Hunterston Ore Terminal in June 1959 as well as detailed views of the operation.  ","silent, colour",http://movingimage.nls.uk/film/4596
MILLPORT & ISLE OF CUMBRAE 1965.,,[Place of production not identified]  : ,1965,['(14:42 mins ) : '],"Director, filmed by Mr Tom Urie.",Leisure and Recreation -- Tourism and Travel -- Bute -- amateur,"A day trip to Millport, stopping off to see many attractions around the island of Greater Cumbrae.  Includes a boat trip to Cumbrae lighthouse.  ","sound, colour",http://movingimage.nls.uk/film/4597
[OBAN - MALLAIG].,,[Place of production not identified]  : ,1977,['(04:22 mins  ) : '],"Director, filmed by Mr Tom Urie.",Landscapes and Seascapes -- Ships and Shipping -- Transport -- Argyllshire -- amateur,"Witness the sights from the chartered boat 'Columba' in Springtime as it makes its return journey from Oban to Mallaig - passing the islands Eigg, Muck and Rhum en route.  The lighthouse at Ardnamurchan on Arnamurchan peninsula features briefly - being th","sound, colour",http://movingimage.nls.uk/film/4598
[QUEEN MARY II - FIRE].,,[Place of production not identified]  : ,1972,['(2.31 mins) : '],"Director, filmed by Mr Tom Urie.",Ships and Shipping -- Argyllshire -- amateur,An amateur enthusiasts record of the aftermath of the 'Queen Mary II''s collision with US navy tug 'Natick'.  The ship is seen on her way back to Gourock.   ,"sound, colour",http://movingimage.nls.uk/film/4599
[RADIO CLYDE SHOWBOAT].,,[Place of production not identified]  : ,1979,['(2.13 mins ) : '],"Director, filmed by Mr Tom Urie.",Leisure and Recreation -- Ships and Shipping -- Water and Waterways -- amateur,"An evening showboat cruise in conjunction with Radio Clyde, on board the Waverley paddle steamer.","sound, colour",http://movingimage.nls.uk/film/4600
[ST. KILDA].,,[Place of production not identified]  : ,1979,['(6:12 mins  ) : '],"Director, filmed by  Mr Tom Urie.","Landscapes and Seascapes -- Leisure and Recreation -- Military, the -- Ships and Shipping -- Inner Hebrides -- Outer Hebrides -- amateur","Recording a trip to St. Kilda on 9th May, 1969.  The film also briefly shows the first party of 'National Trust Working Parties' arriving from Mallaig on the 'Pentland Wave' in 1979 - to help restore the remains of houses and the street on St. Kilda.","sound, colour",http://movingimage.nls.uk/film/4601
SUTHERLAND.,,[Place of production not identified]  : ,1963,['(37.30 minsc) : '],,Christmas  see also New Year -- Ferries -- Fish and Fishing -- Fishing Boats -- Leisure and Recreation -- Ross-shire  -- Sutherland -- amateur,"Recording one family's experiences in Sutherland between 1957 and 1963, this film covers activities such as water skiing at Lairg, summer scenes on the shore at Ullapool, hill climbing, Christmas celebrations.  ","silent, colour",http://movingimage.nls.uk/film/4602
(ROAD TO THE ISLES - LOCHMOR).,,[Place of production not identified]  : ,1957,['(13.58 mins) : '],,Ships and Shipping -- Transport -- Inner Hebrides -- Outer Hebrides -- amateur -- travelogue,Following the mail ship 'Lochmor' on her journey delivering to the Outer Hebrides. ,"silent, colour",http://movingimage.nls.uk/film/4603
OVERLAND TO JERUSALEM.,,[Place of production not identified]  : ,1969,['(182.00 minsc) : '],,Transport -- amateur,An ambitious amateur family record of a journey from Scotland to Jerusalem driving through eleven countries. ,"silent, colour",http://movingimage.nls.uk/film/4604
(FAMILY AT THE BEACH).,,[Place of production not identified]  : ,1932,['(1.48 mins  ) : '],,Home Life -- Leisure and Recreation -- amateur,Lovely shots of a family at a beach. Family gathered by a small house on the shore dancing and laughing.,"silent, black and white",http://movingimage.nls.uk/film/4606
NORTH SEA HERRING HARVEST.,,[Place of production not identified]  : ,1931,['(1.44 mins  ) : '],,documentary,Herring trawlers come into port and unload their cargo at Lowestoft.  Includes shots of women gutting fish.,"silent, black and white",http://movingimage.nls.uk/film/4607
"(EMPIRE EXHIBITION, BELLAHOUSTON PARK).",,[Place of production not identified]  : ,1938,['(10.36 mins) : '],,Leisure and Recreation -- Glasgow -- amateur,The 1938 Empire Exhibition in Bellahouston Park and footage of a visit to Ceylon.,"silent, black and white/colour",http://movingimage.nls.uk/film/4608
[EDINBURGH].,,[Place of production not identified]  : ,1955,['(16.18 mins  ) : '],"Director, d.  T.B. Sansom.",amateur,"A comprehensive tour of Edinburgh in the 1950's.  Includes street scenes, many of which include children playing in tenement back courts; prefabricated houses at Duddingston, interiors of a hospital; interiors of a busy pub in Rose Street, Highland Games ","silent, black and white",http://movingimage.nls.uk/film/4611
MARCH OF THE ROYAL MILE.,,[Place of production not identified]  : ,1958,['(10.30 mins) : '],,Tourism and Travel -- Edinburgh -- amateur,"An amateur film recording the streets of Edinburgh centre in the 1950s.  Includes footage of the Royal Mile, the Grassmarket, St. Giles Cathedral, the Museum of Childhood, Carrubbers Close Mission, Huntly House Museum and Holyrood Palace.   ","sound, colour",http://movingimage.nls.uk/film/4612
"ART OF COOPERING, the.",,[Place of production not identified]  : ,1973,['(22.22 mins) : '],"Director, [filmed by Iain Sutherland and Ian MacKenzie].",Arts and Crafts -- Caithness -- documentary,"Made by the Wick Society, this film documents in detail the craft of coopering (barrel making) in the workshop of coopers John Swanson & John Gunn, Wick. ","silent, colour",http://movingimage.nls.uk/film/4614
[WICK HARBOUR AND FOALS].,,[Place of production not identified]  : ,1935,['(4.05 mins) : '],,Ferries -- Fish and Fishing -- Fishing Boats -- Caithness -- amateur,"Beautiful shots of fishing boats at Wick Harbour, including the loading of sheep and cattle onto the ferry.  Features brief shots of a foal at the end.","silent, black and white",http://movingimage.nls.uk/film/4615
DOWN THE CLYDE.,,[Place of production not identified]  : ,1935,['(6.48 mins ) : '],,Leisure and Recreation -- Ships and Shipping -- Glasgow -- amateur,"A trip down the Clyde, taking in shipbuilding works and coastal villages.  ","silent, black and white",http://movingimage.nls.uk/film/4616
[FISHING WEEK 1955].,,[Place of production not identified]  : ,1955,['(12.29 mins  ) : '],"Director, [filmed by Donald Munro].",Fish and Fishing -- Fishing Boats -- Caithness -- amateur,Life on board a fishing boat as it sets sail from Wick Harbour in 1955.  Includes footage of men hauling in the catch by hand.    ,"silent, colour",http://movingimage.nls.uk/film/4617
NAIROBI TO WICK.,,[Place of production not identified]  : ,1957,['(16.14 mins) : '],,Fish and Fishing -- Landscapes and Seascapes -- Tourism and Travel -- Caithness -- amateur,"Film documenting an aeroplane journey from Nairobi to Wick.  Most of the film focuses on Wick and John O'Groats, featuring street scenes, harbour scenes, coastal scenery, Dounreay Power Station, and finishing with an old steamer crossing the Pentland Firt","silent, colour",http://movingimage.nls.uk/film/4618
[AROUND SUTHERLAND].,,[Place of production not identified]  : ,1939,['(15.05 mins) : '],"Director, [filmed by Alec Johnson].",Celts and Celtic Culture -- Landscapes and Seascapes -- Leisure and Recreation -- Tourism and Travel -- Sutherland -- amateur,Mostly general views of landscape and countryside of Sutherland.  Film opens with a shot of warships in the Dornoch Firth (?). Some lovely shots of small villages and a old cottage with a thatched roof with pots and buckets outside.,"silent, colour",http://movingimage.nls.uk/film/4619
(WICK HARBOUR & GALA WEEKS).,,[Place of production not identified]  : ,1977,['(28.33 mins) : '],"Producer, The Wick Society.","Bulldozers -- Celebrations, Traditions and Customs -- Leisure and Recreation -- Lifeboats -- Politics -- Caithness -- amateur","Dredging and construction work on Wick harbour.  General views of various Gala week parades, the crowning of two Queens, and children's fancy dress.  General views of a warship, and the re-blessing of the lifeboat.  Culminates with Torch Light Procession.","silent, colour",http://movingimage.nls.uk/film/4620
[J. T. SINCLAIR'S DANCES].,,[Place of production not identified]  : ,1941,['(30.05 mins) : '],,"Celebrations, Traditions and Customs -- Leisure and Recreation -- Music -- Caithness -- amateur","Annual Supper Dance and Cabaret organised by Mr J T Sinclair, Wick. The supper and dance always features Old Father Time, the Spirit of the New Year (played by a young girl), and a pretty young woman chosen to be Miss 1938. The wartime dances show people ","silent, colour",http://movingimage.nls.uk/film/4621
(WICK MODEL YACHT CLUB & GALA / BLACKSMITHS/ REPAIRING WHALIGOE STONE STEPS).,,[Place of production not identified]  : ,1977,['(43.03 mins) : '],"Director, [filmed by Iain Sutherland].","Arts and Crafts -- Buses and Coaches, general -- Celebrations, Traditions and Customs -- Emotions, Attitudes and Behaviour -- Fish and Fishing -- Fish Markets -- Politics -- Caithness -- amateur","Overview of the races of Wick's Model Yacht Club Golden Jubilee in 1976.  Close-up of a blacksmith shoeing a horse, and doing wrought iron work.  General views of the repair work of the Whaligoe stone steps.  General views of the Gala week 1977 - crowning","silent, colour",http://movingimage.nls.uk/film/4622
(GENERAL VIEWS OF WICK IN THE 1930's AND 1970's).,,[Place of production not identified]  : ,1979,['(11.13 mins) : '],"Director, [filmed by Iain Sutherland].",Caithness -- amateur,"General views of Wick taken from various vantage points. Shots include the updating of the town's drainage system, wreck of the fishing vessel Scottish Maid, a wooden boat builder, stone repair work. At the end there is some black and white footage taken ","silent, black and white/colour",http://movingimage.nls.uk/film/4623
(WICK SCHOOLS 1930's / RIVERSIDE CATTLE SHOW 1951/52 / GALA'S 1951/52 & 1978/79).,,[Place of production not identified]  : ,1979,['(30.25 mins ) : '],,"Agriculture -- Celebrations, Traditions and Customs -- Ceremonies -- Education -- Fish and Fishing -- Leisure and Recreation -- Lifeboats -- Caithness -- amateur",Both black and white and colour footage of the opening of Wick High School 1937.  New extension of the new North School 1939.  Lifeboat dedication 1939.  Herring Queen 1951/52. Cattle Show Riverside 1951/52 and finishing with Gala's of 1978/79.,"silent, black and white/colour",http://movingimage.nls.uk/film/4624
[AROUND WICK HARBOUR 1974 - 1975 & LIFEBOAT SLIPWAY REPAIRS & TESTS].,,[Place of production not identified]  : ,1975,['(40.58 mins ) : '],"Director, [filmed by Iain Sutherland].","Employment, Industry and Industrial Relations -- Fish and Fishing -- Caithness -- amateur","Fishing boats coming back to Wick harbour and unloading of the catch.  General views of the men gutting and icing the fish. Scenes of the fish lying on the pier, and the men working with the nets.  The children of the fishermen also come down to help. Gen","silent, colour",http://movingimage.nls.uk/film/4625
"[PREWAR HERRING QUEENS, WICK & THURSO].",,[Place of production not identified]  : ,1939,['(49.56 mins ) : '],,Fish and Fishing -- Sutherland -- amateur -- local topical,"This large reel contains many small films all approximately dating from the 1930s.  Subjects range from Wick Model Yacht Club, Wick Herring Queen ceremonies, general views of Wick, Lybster and surrounding areas, Wick harbour HM Coastguards in training, Sc","silent, black and white/colour",http://movingimage.nls.uk/film/4626
"[CRAIGELLACHIE, SPEY VALLEY].",,[Place of production not identified]  : ,1939,['(1.48 mins  ) : '],,amateur,"Lovely shots in and around the village of Craigellachie, Spey Valley.  ","silent, colour",http://movingimage.nls.uk/film/4633
[AUCHTERMUCHTY BOMBING].,,[Place of production not identified]  : ,1939,['(1.07 mins  ) : '],,"Architecture and Buildings -- Emotions, Attitudes and Behaviour -- War -- Fife -- amateur",Evidence of Second World War bomb damage to house and garden in Auchtermuchty.  Brief shot field with white tents at very end of film.   ,"silent, black and white",http://movingimage.nls.uk/film/4634
EVENTS OF 1939 REVIEWED.,,[Place of production not identified]  : ,1950,['(58.01 mins  ) : '],,Fife -- amateur,A comprehensive record of public events in the royal burgh of Auchtermuchty.  ,"silent, black and white/colour",http://movingimage.nls.uk/film/4635
KYLESKU FERRY.,,[Place of production not identified]  : ,1966,['(1.35 mins) : '],,Transport -- Sutherland -- amateur,Well shot film showing the ease and manoeuvrability of the Kylesku ferry as it swiftly moves from across the Kylesku strait. ,"silent, colour",http://movingimage.nls.uk/film/4638
"[OPENING OF ORRIN DAM, ROSS-SHIRE, BY SIR JOHN STIRLING]  .",,[Place of production not identified]  : ,1958,['(2.43 mins  ) : '],,Construction and Engineering -- Ross-shire  -- amateur,"Brief footage of the opening of a large hydro-electric power station in Strath Conon, at Orrin.  The film features various dignitaries being given a tour and general footage of the dam.   ","silent, black and white",http://movingimage.nls.uk/film/4639
"(LOGAN STAFF OFFICE SCENES; COBB MEMORIAL; TUNNEL VISIT, MORISTON)  .",,[Place of production not identified]  : ,1954,['(4.33 mins  ) : '],,"Construction and Engineering -- Employment, Industry and Industrial Relations -- amateur",Logan office workers at work and on an office trip to a construction site.  Includes a photo opportunity at the Cobb Memorial (?).  ,"silent, colour",http://movingimage.nls.uk/film/4640
"[ROAD MAKING WITH BARBER GREEN, SOMERSET CC].",,[Place of production not identified]  : ,1955,['(11.44 mins ) : '],,Construction and Engineering -- amateur,"Close up footage of men building a road in Somerset, with each stage filmed in detail.","silent, colour",http://movingimage.nls.uk/film/4641
"[RE-LAYING HIGH STREET, DINGWALL].",,[Place of production not identified]  : ,1958,['(7.37 mins  ) : '],,amateur -- industrial,"Construction and resurfacing work on Dingwall High Street.  Construction work on a country road is recorded in detail, from the mixing of materials to showing the various machines involved.  ","silent, colour",http://movingimage.nls.uk/film/4642
[LOGAN FAMILY].,,[Place of production not identified]  : ,1955,['(10.50 mins  ) : '],,Leisure and Recreation -- Ross-shire  -- amateur,"A selection of family films giving a snapshot of life in Dingwall in the 1950s.  A family is shown during at leisure.  Includes shots of an elderly man working with a scythe, the family sitting in their lounge, a look inside their new kitchen, taking tea ","silent, black and white/colour",http://movingimage.nls.uk/film/4643
"(BATCHING PLANT CONVEYORS AND EARTH MOVING CONSTRUCTION EQUIPMENT FOR HYDRO ELECTRIC POWER STATION AT STRATH CONON, ORRIN).",,[Place of production not identified]  : ,1956,['(27.53 mins  ) : '],,Power Resources -- Ross-shire  -- amateur -- industrial,"Detailed footage of the construction processes involved in building a large hydro-electric power station in Strath Conon, at Orrin.  Close-ups of all the heavy industrial machinery, transportation, cement mixing and digging equipment as the dam is constru","silent, colour",http://movingimage.nls.uk/film/4644
(LUICHART AND MEIG; GAMMIES AT NORWOOD STRICHEN).,,[Place of production not identified]  : ,1952,['(27.09 mins  ) : '],,Construction and Engineering -- Power Resources -- Ross-shire  -- amateur,"Detailed evidence [mostly in black and white] of the construction of Luichart Power Station and Meig Dam by Logans of Dingwall.  Also shows Logan staff working in the office, in the canteen, and workmen at their trades.  The film also contains a short col","silent, black and white/colour",http://movingimage.nls.uk/film/4645
(BULLDOZERS AND SCRAPERS).,,[Place of production not identified]  : ,1956,['(3.45 mins) : '],,Construction and Engineering -- amateur,General footage of Logan bulldozers and heavy industry vehicles preparing the ground to start construction work on road.  Situated in rural area.  ,"silent, colour",http://movingimage.nls.uk/film/4646
(WOMEN AT LOGAN OFFICE STAFF TEA PARTY)  .,,[Place of production not identified]  : ,1969,['(1.31 mins) : '],,"Employment, Industry and Industrial Relations -- Food and Drink -- Leisure and Recreation -- amateur",A staff tea party where female staff of Logans of Dingwall are seen enjoying tea and cakes.  Includes shot of moustached gentleman in background (probably Mr. Logan or his brother).  ,"silent, colour",http://movingimage.nls.uk/film/4647
(COBB MEMORIAL ; HOUSE AND GARDEN ; LADY TORNACHETY ; ORRIN DAM ; DINGWALL).,,[Place of production not identified]  : ,1956,['(5.58 mins) : '],,Construction and Engineering -- Home Life -- Landscapes and Seascapes -- amateur,"Mostly amateur footage featuring the Logan family at the construction site of a large hydro-electric power station in Strath Conon, at Orrin.  Includes footage of elderly woman at roadside memorial (Cobb Memorial) and some footage of the beautifully kept ","silent, colour",http://movingimage.nls.uk/film/4648
"(BALAHRAGGAN QUARRY ; FORDSON ARTIC DUMPER MADE AT MUIR OF ORD, W. LOGAN. A. LOGAN.).",,[Place of production not identified]  : ,1955,['(4.26 mins) : '],,Construction and Engineering -- Transport -- amateur,An explosion at a quarry.  A specially converted 'tractor' vehicle is test driven in second part of film.  ,"silent, colour",http://movingimage.nls.uk/film/4649
BONNIE AYRSHIRE.,,[Place of production not identified]  : ,1969,['(28.11 mins) : '],"Producer, Mouat Movies.",Leisure and Recreation -- Royalty -- Transport -- Ayrshire -- amateur,"Tour around Ayrshire including Burns Cottage, Glen Trool, Culzean Castle and the Queen Mother opening Prestwick Airport.","silent, colour",http://movingimage.nls.uk/film/4650
K&D MC - SPRING TRIAL (KIRKCALDY AND DISTRICT MOTOR CLUB).,,[Place of production not identified]  : ,1952,['(25.41 mins) : '],"Director, [attrib. Dr Swanston].",Leisure and Recreation -- Sporting Activities -- Transport -- Fife -- technical,"Amateur enthusiast's record of  events in the Kirkcaldy and District Motor Cycling Club calendar.  Featuring Speedway at Meadowbank, Scottish Speed Championships at St. Andrews, Winter and Easter Trials,  and events at Beveridge Park, Kirkcaldy.","silent, black and white/colour",http://movingimage.nls.uk/film/4651
KIRKCALDY & DISTRICT MOTOR CLUB PRESENT THE 1947 - 1948 FILM.,,[Place of production not identified]  : ,1948,['(18.04 mins) : '],"Director, [attrib. Dr Swanston].",Sporting Activities -- Transport -- amateur -- sports,General views motorcycle racing in Kirkcaldy 1947 - 1948.,"silent, black and white",http://movingimage.nls.uk/film/4653
[ST. ANDREWS - GRASS; MARK INCH - WATA; 500 CARS - BEVERIDGE PARK ; 350 FINAL - SCOTTISH ROAD RACES].,,[Place of production not identified]  : ,1952,['(14.53 mins) : '],"Director, [attrib. Dr Swanston].",Sporting Activities -- Fife -- amateur,"Cross-country motor cycle racing, including trials on West Beach, St. Andrews.  General views of motor cycle and motor car racing during Scottish Road Racing event, Beveridge Park, Kirkcaldy, early 1950s.","silent, black and white",http://movingimage.nls.uk/film/4654
KIRKCALDY MOTOR CYCLE ROAD RACES.,,[Place of production not identified]  : ,1935,['(9.13 mins) : '],"Director, filmed by Kirkcaldy Photographic Society.",Sporting Activities -- Fife -- amateur,"The Kirkcaldy motor cycle road races, circa 1934.  Includes footage of the 350cc and 500cc road race finals.","silent, black and white",http://movingimage.nls.uk/film/4655
(KIRKCALDY) MOTOR CLUB FILM 1937.,,[Place of production not identified]  : ,1937,['(9.07 mins) : '],"Director, [attrib. Dr Swanston].",Sporting Activities -- Fife -- amateur,"Motorcycle and motorcar film from the Kirkcaldy and District Motor Club.  Includes races on West Beach, St. Andrews, followed by motor car cross country trials and speed hill climb at Bo'ness.  Footage of solo stunt motorcycle display near the end of the ","silent, black and white",http://movingimage.nls.uk/film/4656
[KIRKCALDY AND DISTRICT MOTOR CLUB 1934].,,[Place of production not identified]  : ,1934,['(15.43 mins) : '],"Director, filmed by Dr. Swanston, Mr. 'Bunt' Stewart.",Sporting Activities -- amateur,"Activities of the Kirkcaldy and District Motor Club, 1934.  Introduction of the men filming the motor cycle races. General views of races at St Andrews and the Isle of Man. ","silent, black and white",http://movingimage.nls.uk/film/4657
1935 K & D MC FILM (KIRKCALDY AND DISTRICT MOTOR CLUB).,,[Place of production not identified]  : ,1935,['(11.44 mins) : '],"Director, [attrib. Dr Swanston].",Sporting Activities -- Transport -- Fife -- amateur -- sports,"Activities of the Kirkcaldy and District Motor Club, 1935.  General views of a motor cycle race at St Andrews (?) beach. Motor club trip to Blackpool for a rally.  General views of various amusements such as a model train, tiny motor boats, a trip in an a","silent, black and white",http://movingimage.nls.uk/film/4658
KIRKCALDY AND DISTRICT MOTOR CLUB ANNUAL FILM 1935.,,[Place of production not identified]  : ,1935,['(14.16 mins) : '],"Director, [attrib. Dr Swanston].",Sporting Activities -- Fife -- amateur,The Kirkcaldy and District Motor Club Annual Film of 1935.  Featuring general views of the motor cycling rally on St Andrews beach  - shots include members of the club with their cars.  General views of the Isle of Man Grand Prix.  ,"silent, black and white",http://movingimage.nls.uk/film/4659
[KIRKCALDY MOTOR CLUB SPECIAL].,,[Place of production not identified]  : ,1934,['(7.37 mins) : '],"Director, [attrib. Dr Swanston].",Sporting Activities -- Fife -- amateur,"Kirkcaldy Motor Club footage from 1934 and 1935.  Featuring motorcycle races at Kirkcaldy, Portrush Ireland, and Southport.  General views of the aeroplane trip to Ireland.  General views of the races, and still photographs of the Junior Championships.","silent, black and white",http://movingimage.nls.uk/film/4660
SIR ROBERT LORIMER: A Sense Of Place.,,[Place of production not identified]  : ,1981,['(19.29 mins) : '],,"Architecture and Buildings -- Art and Artists, general   -- Ayrshire -- Edinburgh -- Fife -- Perth -- documentary -- educational",,"sound, colour",http://movingimage.nls.uk/film/4665
ISLE OF ARRAN.,,[Place of production not identified]  : ,1946,['(8.47 mins) : '],"Director, [filmed by David Sime].",amateur,A brief snapshot tour around Arran.,"silent, colour",http://movingimage.nls.uk/film/4667
"CARING SOCIETY, a.",,[Place of production not identified]  : ,1989,['(34.38 mins) : '],"Director, d. Christopher Mylne.",sponsored -- educational,"A Scottish S.P.C.A. film encouraging the welfare of animals to be considered. The film highlighted the factors that are detrimental to the good wellbeing of animals in society, eg. the changes in their habitat mean that Red Deer are more exposed than they","sound, colour",http://movingimage.nls.uk/film/4673
HIGHLANDS FOR WILDLIFE.,,[Place of production not identified]  : ,1980,['(39.49 mins) : '],"Director, d. Christopher Mylne ; Producer, Edinburgh Films.","Animals -- Birds -- Education -- Highlands, the -- sponsored -- educational","The film highlighted the importance of Scotland's Wildlife Trust, in educating people to enjoy their local countryside and Nature Reserves in a way that is not detrimental to the animals welfare. ","sound, colour",http://movingimage.nls.uk/film/4675
[EDINBURGH AND HOME TO ORKNEY].,,[Place of production not identified]  : ,1947,['(27.13 mins) : '],,amateur -- travelogue,Amateur record of a Scout trip to Edinburgh and during the train and boat journey home to Orkney.  Includes footage of Portobello outdoor swimming pool.,"silent, black and white",http://movingimage.nls.uk/film/4679
CLEAN AIR.,,[Place of production not identified]  : ,1960,['(21.40 mins) : '],"Producer, Random.",Environment -- Healthcare -- documentary -- sponsored -- educational,An explanation of the Clean Air Act.  Effects of air pollution on public health are explained and the measures taken to improve the environment.  Includes scientific experiments and footage of household appliances being inspected to ensure they are clean.,"sound, colour",http://movingimage.nls.uk/film/4680
